"id_waktu","tanggal","hari","bulan","tahun","kuartal","hari_dalam_tahun","minggu_dalam_tahun"
"1","2024-08-09","9","8","2024","3","222","32"
"2","2024-08-10","10","8","2024","3","223","32"
"3","2024-08-12","12","8","2024","3","225","33"
"4","2024-08-13","13","8","2024","3","226","33"
"5","2024-08-14","14","8","2024","3","227","33"
"6","2024-08-15","15","8","2024","3","228","33"
"7","2024-08-16","16","8","2024","3","229","33"
"8","2024-08-19","19","8","2024","3","232","34"
"9","2024-08-20","20","8","2024","3","233","34"
"10","2024-08-21","21","8","2024","3","234","34"
"11","2024-08-22","22","8","2024","3","235","34"
"12","2024-08-23","23","8","2024","3","236","34"
"13","2024-08-24","24","8","2024","3","237","34"
"14","2024-08-26","26","8","2024","3","239","35"
"15","2024-08-27","27","8","2024","3","240","35"
"16","2024-08-28","28","8","2024","3","241","35"
"17","2024-08-29","29","8","2024","3","242","35"
"18","2024-08-30","30","8","2024","3","243","35"
"19","2024-08-31","31","8","2024","3","244","35"
"20","2024-09-02","2","9","2024","3","246","36"
"21","2024-09-03","3","9","2024","3","247","36"
"22","2024-09-04","4","9","2024","3","248","36"
"23","2024-09-05","5","9","2024","3","249","36"
"24","2024-09-06","6","9","2024","3","250","36"
"25","2024-09-07","7","9","2024","3","251","36"
"26","2024-09-09","9","9","2024","3","253","37"
"27","2024-09-10","10","9","2024","3","254","37"
"28","2024-09-11","11","9","2024","3","255","37"
"29","2024-09-12","12","9","2024","3","256","37"
"30","2024-09-13","13","9","2024","3","257","37"
"31","2024-09-14","14","9","2024","3","258","37"
"32","2024-09-17","17","9","2024","3","261","38"
"33","2024-09-18","18","9","2024","3","262","38"
"34","2024-09-19","19","9","2024","3","263","38"
"35","2024-09-20","20","9","2024","3","264","38"
"36","2024-09-22","22","9","2024","3","266","39"
"37","2024-09-23","23","9","2024","3","267","39"
"38","2024-09-24","24","9","2024","3","268","39"
"39","2024-09-25","25","9","2024","3","269","39"
"40","2024-09-26","26","9","2024","3","270","39"
"41","2024-09-27","27","9","2024","3","271","39"
"42","2024-09-28","28","9","2024","3","272","39"
"43","2024-09-30","30","9","2024","3","274","40"
"44","2024-10-01","1","10","2024","4","275","40"
"45","2024-10-02","2","10","2024","4","276","40"
"46","2024-10-03","3","10","2024","4","277","40"
"47","2024-10-04","4","10","2024","4","278","40"
"48","2024-10-05","5","10","2024","4","279","40"
"49","2024-10-07","7","10","2024","4","281","41"
"50","2024-10-08","8","10","2024","4","282","41"
"51","2024-10-09","9","10","2024","4","283","41"
"52","2024-10-10","10","10","2024","4","284","41"
"53","2024-10-11","11","10","2024","4","285","41"
"54","2024-10-12","12","10","2024","4","286","41"
"55","2024-10-13","13","10","2024","4","287","42"
"56","2024-10-14","14","10","2024","4","288","42"
"57","2024-10-15","15","10","2024","4","289","42"
"58","2024-10-16","16","10","2024","4","290","42"
"59","2024-10-17","17","10","2024","4","291","42"
"60","2024-10-18","18","10","2024","4","292","42"
"61","2024-10-19","19","10","2024","4","293","42"
"62","2024-10-21","21","10","2024","4","295","43"
"63","2024-10-22","22","10","2024","4","296","43"
"64","2024-10-23","23","10","2024","4","297","43"
"65","2024-10-24","24","10","2024","4","298","43"
"66","2024-10-25","25","10","2024","4","299","43"
"67","2024-10-26","26","10","2024","4","300","43"
"68","2024-10-28","28","10","2024","4","302","44"
"69","2024-10-29","29","10","2024","4","303","44"
"70","2024-10-30","30","10","2024","4","304","44"
"71","2024-10-31","31","10","2024","4","305","44"
"72","2024-11-01","1","11","2024","4","306","44"
"73","2024-11-02","2","11","2024","4","307","44"
"74","2024-11-04","4","11","2024","4","309","45"
"75","2024-11-05","5","11","2024","4","310","45"
"76","2024-11-06","6","11","2024","4","311","45"
"77","2024-11-07","7","11","2024","4","312","45"
"78","2024-11-08","8","11","2024","4","313","45"
"79","2024-11-09","9","11","2024","4","314","45"
"80","2024-11-11","11","11","2024","4","316","46"
"81","2024-11-12","12","11","2024","4","317","46"
"82","2024-11-13","13","11","2024","4","318","46"
"83","2024-11-14","14","11","2024","4","319","46"
"84","2024-11-15","15","11","2024","4","320","46"
"85","2024-11-16","16","11","2024","4","321","46"
"86","2024-11-18","18","11","2024","4","323","47"
"87","2024-11-19","19","11","2024","4","324","47"
"88","2024-11-20","20","11","2024","4","325","47"
"89","2024-11-21","21","11","2024","4","326","47"
"90","2024-11-22","22","11","2024","4","327","47"
"91","2024-11-23","23","11","2024","4","328","47"
"92","2024-11-25","25","11","2024","4","330","48"
"93","2024-11-26","26","11","2024","4","331","48"
"94","2024-11-28","28","11","2024","4","333","48"
"95","2024-11-29","29","11","2024","4","334","48"
"96","2024-11-30","30","11","2024","4","335","48"
"97","2024-12-02","2","12","2024","4","337","49"
"98","2024-12-03","3","12","2024","4","338","49"
"99","2024-12-04","4","12","2024","4","339","49"
"100","2024-12-05","5","12","2024","4","340","49"
"101","2024-12-06","6","12","2024","4","341","49"
"102","2024-12-07","7","12","2024","4","342","49"
"103","2024-12-09","9","12","2024","4","344","50"
"104","2024-12-10","10","12","2024","4","345","50"
"105","2024-12-11","11","12","2024","4","346","50"
"106","2024-12-12","12","12","2024","4","347","50"
"107","2024-12-13","13","12","2024","4","348","50"
"108","2024-12-14","14","12","2024","4","349","50"
"109","2024-12-16","16","12","2024","4","351","51"
"110","2024-12-17","17","12","2024","4","352","51"
"111","2024-12-18","18","12","2024","4","353","51"
"112","2024-12-19","19","12","2024","4","354","51"
"113","2024-12-20","20","12","2024","4","355","51"
"114","2024-12-21","21","12","2024","4","356","51"
"115","2024-12-23","23","12","2024","4","358","52"
"116","2024-12-24","24","12","2024","4","359","52"
"117","2024-12-26","26","12","2024","4","361","52"
"118","2024-12-27","27","12","2024","4","362","52"
"119","2024-12-28","28","12","2024","4","363","52"
"120","2024-12-30","30","12","2024","4","365","1"
"121","2024-12-31","31","12","2024","4","366","1"
"122","2025-01-02","2","1","2025","1","2","1"
"123","2025-01-03","3","1","2025","1","3","1"
"124","2025-01-04","4","1","2025","1","4","1"
"125","2025-01-06","6","1","2025","1","6","2"
"126","2025-01-07","7","1","2025","1","7","2"
"127","2025-01-08","8","1","2025","1","8","2"
"128","2025-01-09","9","1","2025","1","9","2"
"129","2025-01-10","10","1","2025","1","10","2"
"130","2025-01-11","11","1","2025","1","11","2"
"131","2025-01-13","13","1","2025","1","13","3"
"132","2025-01-14","14","1","2025","1","14","3"
"133","2025-01-15","15","1","2025","1","15","3"
"134","2025-01-16","16","1","2025","1","16","3"
"135","2025-01-17","17","1","2025","1","17","3"
"136","2025-01-18","18","1","2025","1","18","3"
"137","2025-01-20","20","1","2025","1","20","4"
"138","2025-01-21","21","1","2025","1","21","4"
"139","2025-01-22","22","1","2025","1","22","4"
"140","2025-01-23","23","1","2025","1","23","4"
"141","2025-01-24","24","1","2025","1","24","4"
"142","2025-01-25","25","1","2025","1","25","4"
